,game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,binned_developer,developer_RewindApp,developer_Ripknot Systems,developer_CAPCOM Co. Ltd.,developer_Kairosoft Co.Ltd,developer_Winged Cloud,developer_KOEI TECMO GAMES CO. LTD.,developer_Choice of Games,developer_EGAMER,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
139,Mechanica,6.0,3.17,2020,1,32,21,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
140,Who Knocks,6.0,2.77,2022,1,15,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
141,Probe,7.0,6.0,2020,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
142,Recruit One,7.0,8.33,2020,1,9,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
143,Deleveled,8.0,3.94,2020,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
144,Hello Neighbor: Hide and Seek,8.0,5.83,2018,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
145,Cubixx HD,7.0,7.75,2011,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
146,The Devil's Calculator,8.0,20.4,2019,1,9,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
147,Down in Bermuda,8.0,8.25,2019,1,2,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
148,Mimir's Recruit,7.0,14.0,2021,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
149,The Last Cube,8.0,27.75,2022,1,8,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
150,Prime Mover,8.0,8.19,1993,1,10,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
151,Prime Mover,8.0,8.19,2018,1,9,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
152,Viviette,8.0,7.35,2018,1,9,1,DYA Games,0,0,0,0,0,0,0,0,0,0,89
153,Learning Factory,8.0,6.19,2021,1,13,33,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
154,Paper Beast,9.0,20.79,2020,1,9,38,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
155,Toodee and Topdee,9.0,20.31,2021,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
156,Bot Land,5.0,2.04,2019,2,15,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
157,Remoteness,5.0,1.7,2022,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
158,Creepy Tale 3: Ingrid Penance,8.0,21.45,2023,1,2,19,Creepy Brothers,0,0,0,0,0,0,0,0,0,0,77
159,Sudocats,9.0,91.0,2022,1,9,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
160,Lab Craft Survival,6.0,2.89,2020,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
161,Something Ate My Alien,8.0,7.43,2020,1,4,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
162,Trivia Vault: Auto Racing Trivia,5.0,1.0,2018,1,15,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
163,Fantastic Contraption Classic 1 & 2,8.0,26.5,2008,1,2,34,Northway Games,0,0,0,0,0,0,0,0,0,0,265
164,Outerverse,5.0,1.47,2022,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
165,Harmony's Odyssey,8.0,19.55,2022,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
166,#AkiRobots,7.0,15.0,2020,1,8,35,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
167,Logic World,8.0,15.44,2021,1,13,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
168,Cosmic Ball Tournament,7.0,12.0,2023,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
169,Trivia Vault: Food Trivia,5.0,1.05,2018,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
170,Space Tail: Every Journey Leads Home,8.0,12.6,2022,1,7,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
171,Beam,8.0,8.83,2020,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
172,Beam,8.0,8.83,1989,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
173,Petal Crash,8.0,42.0,2020,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
174,Neon Depth,7.0,17.0,2021,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
175,Trancelation,7.0,7.67,2019,1,7,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
176,Trivia Vault Basketball Trivia,5.0,1.12,2018,1,14,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
177,How to Say Goodbye,7.0,23.5,2022,1,9,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
178,Rob Riches,8.0,30.0,2021,1,9,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
179,Neon Warp,6.0,3.53,2016,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
180,Hexa Turn,8.0,8.18,2017,1,9,35,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
181,Do you know de way,6.0,2.53,2018,1,31,35,Laush Dmitriy Sergeevich,0,0,0,0,0,0,0,0,0,0,207
182,Frontier Quest,7.0,4.5,2021,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
183,Obsolete,7.0,10.0,2020,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
184,Project Chemistry,6.0,3.43,2020,1,13,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
185,Trivia Tricks,8.0,11.36,2020,1,26,40,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
186,Inferno,6.0,2.4,2010,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
187,Inferno,6.0,2.4,1991,1,33,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
188,Inferno,6.0,2.4,2010,1,13,1,Aldorlea Games,0,0,0,0,0,0,0,0,0,0,16
189,Inferno,6.0,2.4,1991,1,33,1,Aldorlea Games,0,0,0,0,0,0,0,0,0,0,16
190,CalmLine,7.0,5.0,0,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
191,Trivia Vault: Tennis Trivia,5.0,1.09,2018,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
192,Trivia Vault: Soccer Trivia,5.0,0.94,2018,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
193,Trivia Vault: Hockey Trivia,5.0,1.16,2018,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
194,My Bunny Girl,6.0,2.9,2022,1,32,42,Hunny Bunny Studio,0,0,0,0,0,0,0,0,0,0,173
195,Overhaul,8.0,9.86,2022,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
196,EscapeVR: The Basement,8.0,3.89,2016,1,9,32,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
197,TitTok,8.0,7.92,2021,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
198,Cartonfall,8.0,9.91,0,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
199,PixPhys,6.0,3.14,2021,1,13,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
200,Vaccine,7.0,5.0,2017,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
201,Vaccine,7.0,5.0,2017,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
202,Vaccine,6.0,2.33,2017,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
203,Vaccine,6.0,2.33,2017,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
204,Operator,7.0,5.25,0,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
205,Operator,7.0,5.25,0,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
206,Operator,5.0,1.48,0,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
207,Operator,5.0,1.48,0,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
208,Faraday Protocol,8.0,12.0,2021,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
